symptom,state,Up to 2018-08-01,Up to 2018-09-01,aggregate_correlation
Mental Retardation,AL,71,63,18
Metatarsalgia,AL,36,23,35
Miosis,AL,5,26,42
Morning Sickness,AL,56,58,4
Motion Sickness,AL,56,58,4
Mouth Breathing,AL,26,40,39
Muscle Cramp,AL,48,24,32
Muscle Weakness,AL,68,64,24
Muscular Atrophy,AL,74,67,21
Mutism,AL,35,22,34
Myoclonus,AL,64,46,7
Myotonia,AL,1,69,79
Nausea,AL,20,14,57
Neck Pain,AL,20,14,57
Neuralgia,AL,66,11,64
Nocturia,AL,14,18,52
Obesity,AL,71,63,18
Oliguria,AL,17,3,54
Ophthalmoplegia,AL,9,30,46
Orthostatic Intolerance,AL,30,7,62
Overweight,AL,80,62,30
Pain,AL,20,14,57
Pallor,AL,67,49,12
Paralysis,AL,50,9,66
Paraplegia,AL,62,46,9
Paresis,AL,30,7,62
Paresthesia,AL,14,18,51
Pelvic Pain,AL,19,13,56
Photophobia,AL,59,53,15
Polyuria,AL,7,28,44
Presbycusis,AL,27,41,40
Prosopagnosia,AL,10,31,47
Proteinuria,AL,55,57,19
Pruritus,AL,44,76,74
Purpura,AL,68,64,24
Quadriplegia,AL,48,76,32
Renal Colic,AL,48,76,32
Sarcopenia,AL,28,72,77
Sciatica,AL,19,13,56
Scotoma,AL,25,39,38
Seizures,AL,18,4,55
Shoulder Pain,AL,20,14,57
Sleep Deprivation,AL,73,66,20
Sleep Disorders,AL,74,63,21
Sneezing,AL,20,14,57
Snoring,AL,79,45,29
Spasm,AL,31,10,65
Stupor,AL,17,3,54
Stuttering,AL,61,55,17
Sweating Sickness,AL,4,25,41
Syncope,AL,46,78,76
Tetany,AL,32,8,63
Tics,AL,73,66,20
Tinea Pedis,AL,77,59,27
Tinnitus,AL,24,60,37
Toothache,AL,20,14,57
Torticollis,AL,69,65,22
Tremor,AL,77,59,27
Trismus,AL,5,26,42
Unconsciousness,AL,64,46,7
Urinary Incontinence,AL,48,19,32
Vertigo,AL,56,58,4
Vomiting,AL,20,14,57
Weight Gain,AL,20,14,57
Weight Loss,AL,20,14,57
Abdominal Pain,AK,14,16,14
Amnesia,AK,38,25,32
Anorexia,AK,16,8,11
Aphasia,AK,24,51,50
Apnea,AK,17,7,12
Ataxia,AK,50,45,45
Back Pain,AK,35,22,29
Birth Weight,AK,20,41,55
Blindness,AK,16,8,11
Body Weight,AK,4,3,4
Bulimia,AK,6,13,6
Chest Pain,AK,35,22,29
Chills,AK,25,42,21
Colic,AK,21,48,25
Coma,AK,27,2,23
Confusion,AK,22,49,26
Constipation,AK,35,22,29
Cough,AK,35,22,29
Cyanosis,AK,39,30,37
Delirium,AK,6,14,6
Diarrhea,AK,35,22,29
Dizziness,AK,7,17,7
Dysarthria,AK,26,44,22
Dyslexia,AK,13,1,10
Dysmenorrhea,AK,18,38,53
Dyspepsia,AK,43,33,42
Dyspnea,AK,9,18,8
Dystonia,AK,24,51,51
Dysuria,AK,6,14,6
Earache,AK,37,24,31
Edema,AK,10,5,9
Eye Pain,AK,6,14,6
Fatigue,AK,15,6,15
Feminization,AK,45,35,40
Fever,AK,35,22,29
Flatulence,AK,25,43,21
Flushing,AK,30,10,16
Gagging,AK,13,1,10
Gastroparesis,AK,8,4,52
Halitosis,AK,23,50,49
Hallucinations,AK,43,33,42
Headache,AK,35,22,29
Hearing Loss,AK,6,14,6
Heartburn,AK,36,23,30
Hiccup,AK,3,39,3
Hot Flashes,AK,11,12,20
Hyperemesis Gravidarum,AK,41,32,39
Hyperventilation,AK,29,9,18
Hypothermia,AK,48,26,34
Illusions,AK,16,8,11
Jaundice,AK,44,34,43
Lethargy,AK,2,28,2
Low Back Pain,AK,42,29,36
Morning Sickness,AK,49,27,35
Motion Sickness,AK,9,18,8
Nausea,AK,35,22,29
Neck Pain,AK,9,18,8
Neuralgia,AK,8,4,52
Obesity,AK,17,7,12
Overweight,AK,17,28,13
Pain,AK,35,22,29
Pallor,AK,32,19,33
Paralysis,AK,40,31,38
Paresthesia,AK,23,50,49
Pelvic Pain,AK,1,15,1
Pruritus,AK,52,47,48
Purpura,AK,27,2,23
Sciatica,AK,51,46,46
Seizures,AK,12,10,17
Shoulder Pain,AK,5,20,5
Sneezing,AK,30,11,19
Snoring,AK,28,52,24
Spasm,AK,47,37,47
Stuttering,AK,44,34,44
Syncope,AK,1,14,1
Tics,AK,6,13,6
Tinnitus,AK,31,11,19
Toothache,AK,29,9,18
Torticollis,AK,46,36,41
Tremor,AK,19,40,54
Vertigo,AK,42,29,36
Vomiting,AK,35,22,29
Weight Gain,AK,33,21,27
Weight Loss,AK,34,21,28
Abdominal Pain,AZ,31,43,24
Acute Coronary Syndrome,AZ,6,9,33
Ageusia,AZ,13,17,42
Agnosia,AZ,5,8,32
Agraphia,AZ,72,70,73
Albuminuria,AZ,23,18,5
Alien Hand Syndrome,AZ,72,70,73
Amaurosis Fugax,AZ,55,80,56
Amblyopia,AZ,74,58,75
Amnesia,AZ,31,43,24
Angina Pectoris,AZ,70,73,71
Anisocoria,AZ,76,60,77
Anomia,AZ,37,21,8
Anorexia,AZ,68,78,69
Anoxia,AZ,49,3,49
Aphasia,AZ,75,58,76
Apnea,AZ,31,41,24
Arthralgia,AZ,78,49,79
Asthenia,AZ,54,60,54
Ataxia,AZ,79,72,80
Athetosis,AZ,72,70,73
Back Pain,AZ,31,43,24
Birth Weight,AZ,25,19,6
Blindness,AZ,65,69,66
Body Weight,AZ,72,70,73
Bulimia,AZ,72,70,73
Cachexia,AZ,49,3,49
Catalepsy,AZ,47,52,47
Catatonia,AZ,66,76,67
Cerebellar Ataxia,AZ,78,49,79
Chest Pain,AZ,31,43,24
Chills,AZ,31,43,24
Chorea,AZ,69,75,70
Colic,AZ,35,46,29
Coma,AZ,34,45,28
Communication Disorders,AZ,67,77,68
Confusion,AZ,75,54,76
Constipation,AZ,31,43,24
Coprophagia,AZ,19,33,16
Cough,AZ,31,43,24
Cyanosis,AZ,76,60,77
Deafness,AZ,44,83,44
Delirium,AZ,10,13,37
Diarrhea,AZ,31,43,24
Diplopia,AZ,71,82,72
Dizziness,AZ,31,43,24
Dysarthria,AZ,79,72,80
Dysgeusia,AZ,37,22,8
Dyslexia,AZ,72,70,73
Dysmenorrhea,AZ,26,20,7
Dyspepsia,AZ,66,76,67
Dysphonia,AZ,81,47,82
Dyspnea,AZ,76,60,77
Dystonia,AZ,57,65,58
Dysuria,AZ,24,39,27
Earache,AZ,31,43,24
Ecchymosis,AZ,20,26,17
Echolalia,AZ,72,70,73
Edema,AZ,29,40,22
Emaciation,AZ,43,34,43
Encopresis,AZ,68,78,69
Eructation,AZ,41,35,38
Eye Pain,AZ,29,41,22
Facial Pain,AZ,1,38,1
Facial Paralysis,AZ,55,80,56
Fasciculation,AZ,57,65,58
Fatigue,AZ,31,43,24
Feminization,AZ,54,83,54
Fetal Macrosomia,AZ,40,1,2
Fever,AZ,31,43,24
Flank Pain,AZ,62,81,63
Flatulence,AZ,68,78,69
Flushing,AZ,51,55,51
Gagging,AZ,14,28,11
Gastroparesis,AZ,30,42,23
Halitosis,AZ,61,79,62
Hallucinations,AZ,31,43,24
Headache,AZ,31,43,24
Hearing Loss,AZ,45,64,45
Heart Murmurs,AZ,69,75,70
Heartburn,AZ,31,43,24
Hematemesis,AZ,15,29,12
Hemianopsia,AZ,68,78,69
Hemiplegia,AZ,33,44,26
Hemoglobinuria,AZ,55,80,55
Hemoptysis,AZ,77,61,78
Hiccup,AZ,31,43,24
Hirsutism,AZ,59,74,60
Hoarseness,AZ,63,71,64
Horner Syndrome,AZ,71,82,72
Hot Flashes,AZ,31,43,24
Hydrops Fetalis,AZ,53,57,53
Hyperacusis,AZ,47,52,47
Hyperalgesia,AZ,38,23,9
Hypercalciuria,AZ,42,36,39
Hypercapnia,AZ,12,15,41
Hyperemesis Gravidarum,AZ,43,38,43
Hyperesthesia,AZ,1,37,1
Hyperventilation,AZ,7,10,34
Hypocapnia,AZ,40,1,2
Hypothermia,AZ,73,59,74
Hypoventilation,AZ,11,14,40
Illusions,AZ,68,78,69
Intermittent Claudication,AZ,5,8,32
Jaundice,AZ,32,43,25
Labor Pain,AZ,50,48,50
Language Disorders,AZ,72,70,73
Lethargy,AZ,18,32,15
Livedo Reticularis,AZ,2,5,3
Low Back Pain,AZ,21,25,18
Mental Retardation,AZ,68,78,69
Metatarsalgia,AZ,1,37,1
Miosis,AZ,8,11,35
Morning Sickness,AZ,31,43,24
Motion Sickness,AZ,61,79,62
Mouth Breathing,AZ,3,6,4
Muscle Cramp,AZ,73,59,74
Muscle Weakness,AZ,62,81,63
Mutism,AZ,38,23,9
Myoclonus,AZ,54,83,54
Myokymia,AZ,58,66,59
Myotonia,AZ,43,75,43
Nausea,AZ,31,43,24
Neck Pain,AZ,31,43,24
Neuralgia,AZ,72,70,73
Nocturia,AZ,80,50,81
Obesity,AZ,68,78,69
Oliguria,AZ,16,30,13
Ophthalmoplegia,AZ,55,80,55
Orthostatic Intolerance,AZ,4,7,31
Overweight,AZ,65,69,66
Pain,AZ,31,43,24
Pallor,AZ,39,24,10
Paralysis,AZ,31,43,24
Paraparesis,AZ,17,31,14
Paraplegia,AZ,47,52,47
Paresis,AZ,4,7,31
Paresthesia,AZ,46,4,46
Pelvic Pain,AZ,31,43,24
Persistent Vegetative State,AZ,2,5,3
Photophobia,AZ,57,65,58
Polyuria,AZ,48,53,48
Presbycusis,AZ,11,14,40
Prosopagnosia,AZ,43,2,43
Proteinuria,AZ,76,60,77
Pruritus,AZ,65,69,66
Pseudophakia,AZ,23,18,5
Purpura,AZ,78,49,79
Quadriplegia,AZ,21,25,18
Renal Colic,AZ,2,5,3
Sarcopenia,AZ,80,50,81
Sciatica,AZ,31,43,24
Scotoma,AZ,55,80,55
Seizures,AZ,31,43,24
Shoulder Pain,AZ,31,43,24
Sleep Deprivation,AZ,55,80,56
Sleep Disorders,AZ,68,78,69
Sneezing,AZ,31,43,24
Snoring,AZ,28,63,21
Spasm,AZ,29,41,22
Speech Disorders,AZ,67,77,68
Stupor,AZ,12,16,41
Stuttering,AZ,72,70,73
Susac Syndrome,AZ,36,34,30
Sweating Sickness,AZ,9,12,36
Syncope,AZ,52,56,52
Tetany,AZ,60,74,61
Tics,AZ,56,67,57
Tinea Pedis,AZ,22,27,19
Tinnitus,AZ,30,42,23
Toothache,AZ,31,43,24
Torticollis,AZ,76,51,77
Tremor,AZ,27,62,20
Trismus,AZ,64,68,65
Unconsciousness,AZ,64,68,65
Urinary Incontinence,AZ,54,83,54
Vertigo,AZ,27,62,20
Vomiting,AZ,31,43,24
Weight Gain,AZ,31,43,24
Weight Loss,AZ,31,43,24
Abdominal Pain,AR,21,9,40
Ageusia,AR,28,6,23
Agnosia,AR,10,22,30
Agraphia,AR,13,28,36
Amblyopia,AR,53,43,2
Amnesia,AR,32,12,28
Angina Pectoris,AR,25,3,13
Anisocoria,AR,38,50,52
Anomia,AR,34,14,17
Anorexia,AR,69,73,70
Anoxia,AR,38,50,52
Aphasia,AR,39,51,53
Apnea,AR,68,76,69
Arthralgia,AR,63,62,64
Asthenia,AR,50,56,56
Ataxia,AR,55,36,4
Back Pain,AR,31,11,27
Birth Weight,AR,60,44,9
Blindness,AR,69,73,70
Body Weight,AR,56,37,5
Bulimia,AR,70,71,71
Cachexia,AR,57,35,6
Catatonia,AR,41,41,43
Chest Pain,AR,31,11,27
Chills,AR,30,8,25
Chorea,AR,45,59,59
Colic,AR,17,17,61
Coma,AR,15,30,38
Confusion,AR,40,53,54
Constipation,AR,31,11,27
Coprophagia,AR,8,38,49
Cough,AR,31,11,27
Cyanosis,AR,62,61,63
Deafness,AR,53,43,2
Delirium,AR,65,65,66
Diarrhea,AR,31,11,27
Diplopia,AR,6,33,32
Dizziness,AR,48,54,62
Dysarthria,AR,66,66,67
Dysgeusia,AR,9,39,50
Dyslexia,AR,46,60,60
Dysmenorrhea,AR,51,57,57
Dyspepsia,AR,67,67,68
Dysphonia,AR,4,48,47
Dyspnea,AR,17,17,61
Dystonia,AR,55,36,4
Dysuria,AR,41,41,43
Earache,AR,42,41,42
Ecchymosis,AR,20,20,22
Echolalia,AR,27,5,15
Edema,AR,59,74,8
Emaciation,AR,29,7,24
Encopresis,AR,12,25,35
Eructation,AR,38,50,52
Eye Pain,AR,21,9,40
Fatigue,AR,44,58,51
Feminization,AR,70,71,71
Fever,AR,31,11,27
Flank Pain,AR,19,19,21
Flatulence,AR,64,63,65
Flushing,AR,18,18,20
Gagging,AR,16,26,39
Gastroparesis,AR,12,25,35
Halitosis,AR,73,68,74
Hallucinations,AR,18,18,20
Headache,AR,31,11,27
Hearing Loss,AR,41,41,43
Heartburn,AR,31,11,27
Hematemesis,AR,38,50,52
Hemianopsia,AR,66,66,67
Hemiplegia,AR,66,66,67
Hemoptysis,AR,2,46,45
Hiccup,AR,47,75,16
Hirsutism,AR,36,16,19
Hoarseness,AR,38,50,52
Hot Flashes,AR,19,21,21
Hydrops Fetalis,AR,57,35,6
Hypercapnia,AR,10,22,30
Hyperemesis Gravidarum,AR,13,28,36
Hyperventilation,AR,26,4,14
Hypothermia,AR,37,52,58
Hypoventilation,AR,35,15,18
Illusions,AR,69,73,70
Jaundice,AR,71,71,72
Labor Pain,AR,65,64,66
Lethargy,AR,72,70,73
Low Back Pain,AR,47,75,16
Mental Retardation,AR,69,73,70
Metatarsalgia,AR,38,50,52
Miosis,AR,11,23,31
Morning Sickness,AR,43,42,44
Motion Sickness,AR,68,76,69
Mouth Breathing,AR,23,1,11
Muscle Weakness,AR,49,55,55
Mutism,AR,22,64,41
Myoclonus,AR,62,61,63
Nausea,AR,31,11,27
Neck Pain,AR,42,11,42
Neuralgia,AR,38,50,52
Nocturia,AR,60,31,9
Obesity,AR,69,73,70
Oliguria,AR,52,29,1
Overweight,AR,68,76,69
Pain,AR,31,11,27
Pallor,AR,5,49,48
Paralysis,AR,58,40,7
Paraplegia,AR,1,27,34
Paresis,AR,1,27,34
Paresthesia,AR,57,35,6
Pelvic Pain,AR,30,8,25
Photophobia,AR,20,19,22
Polyuria,AR,14,24,37
Presbycusis,AR,48,54,62
Prosopagnosia,AR,24,2,12
Proteinuria,AR,65,64,66
Pruritus,AR,3,47,46
Purpura,AR,72,70,73
Quadriplegia,AR,22,29,41
Sarcopenia,AR,23,1,11
Sciatica,AR,44,58,51
Seizures,AR,70,72,71
Shoulder Pain,AR,31,11,27
Sleep Deprivation,AR,37,52,58
Sleep Disorders,AR,73,68,74
Sneezing,AR,52,45,1
Snoring,AR,58,40,7
Spasm,AR,61,32,10
Speech Disorders,AR,11,23,31
Stupor,AR,25,3,13
Stuttering,AR,74,69,75
Syncope,AR,50,56,56
Tetany,AR,7,34,33
Thinness,AR,33,13,29
Tics,AR,49,55,55
Tinnitus,AR,41,77,43
Toothache,AR,31,19,21
Torticollis,AR,22,31,41
Tremor,AR,59,74,8
Urinary Incontinence,AR,38,50,52
Vertigo,AR,54,53,3
Vomiting,AR,42,11,27
Weight Gain,AR,31,10,26
Weight Loss,AR,31,10,26
Abdominal Pain,CA,11,24,57
Acute Coronary Syndrome,CA,78,77,7
Ageusia,CA,50,11,27
Agnosia,CA,33,2,69
Agraphia,CA,60,45,34
Albuminuria,CA,26,10,47
Alien Hand Syndrome,CA,35,4,71
Amaurosis Fugax,CA,60,45,34
Amblyopia,CA,64,40,13
Amnesia,CA,11,24,57
Angina Pectoris,CA,18,31,65
Anisocoria,CA,78,74,7
Anomia,CA,39,36,45
Anorexia,CA,66,65,15
Anoxia,CA,58,47,42
Aphasia,CA,11,24,57
Aphonia,CA,1,32,77
Apnea,CA,11,24,57
Arthralgia,CA,6,30,53
Asthenia,CA,66,65,15
Ataxia,CA,11,23,57
Athetosis,CA,5,38,52
Back Pain,CA,11,24,57
Birth Weight,CA,11,24,57
Blindness,CA,66,65,15
Body Weight,CA,11,24,57
Body Weight Changes,CA,78,77,7
Brown-Sequard Syndrome,CA,59,48,43
Bulimia,CA,66,65,15
Cachexia,CA,5,38,52
Catalepsy,CA,56,78,26
Catatonia,CA,4,16,51
Cerebellar Ataxia,CA,56,42,26
Chest Pain,CA,11,24,57
Chills,CA,11,24,57
Chorea,CA,61,41,33
Colic,CA,11,24,57
Coma,CA,11,24,57
Communication Disorders,CA,19,22,66
Confusion,CA,57,20,21
Constipation,CA,11,24,57
Coprophagia,CA,64,40,13
Cough,CA,11,24,57
Cyanosis,CA,11,24,57
Deafness,CA,66,65,15
Delirium,CA,11,24,57
Diarrhea,CA,11,24,57
Diplopia,CA,79,79,8
Dizziness,CA,11,24,57
Dysarthria,CA,11,24,57
Dysgeusia,CA,56,77,26
Dyskinesias,CA,66,63,15
Dyslexia,CA,10,24,62
Dysmenorrhea,CA,11,24,57
Dyspepsia,CA,19,18,66
Dysphonia,CA,20,19,67
Dyspnea,CA,11,24,57
Dystonia,CA,42,37,46
Dysuria,CA,11,24,57
Earache,CA,11,24,57
Ecchymosis,CA,11,24,57
Echolalia,CA,64,40,13
Edema,CA,11,24,57
Emaciation,CA,52,52,29
Encopresis,CA,67,66,16
Eructation,CA,63,57,12
Eye Hemorrhage,CA,20,19,67
Eye Pain,CA,11,24,57
Facial Pain,CA,55,44,25
Facial Paralysis,CA,53,76,23
Fasciculation,CA,66,64,15
Fatigue,CA,11,24,57
Feminization,CA,66,65,15
Fetal Distress,CA,75,71,4
Fetal Macrosomia,CA,75,71,4
Fetal Weight,CA,66,63,15
Fever,CA,11,24,57
Fever of Unknown Origin,CA,70,54,19
Flank Pain,CA,11,24,57
Flatulence,CA,66,65,15
Flushing,CA,11,24,57
Gagging,CA,11,24,57
Gait Ataxia,CA,61,41,33
Gastroparesis,CA,11,24,57
Gerstmann Syndrome,CA,68,67,17
Halitosis,CA,67,66,16
Hallucinations,CA,11,24,57
Headache,CA,11,24,57
Hearing Disorders,CA,65,43,14
Hearing Loss,CA,10,24,62
Heart Murmurs,CA,66,65,15
Heartburn,CA,11,24,57
Hematemesis,CA,48,73,22
Hemianopsia,CA,60,45,34
Hemifacial Spasm,CA,40,59,39
Hemiplegia,CA,11,24,57
Hemoglobinuria,CA,41,60,40
Hemoptysis,CA,11,24,57
Hiccup,CA,11,24,57
Hirsutism,CA,7,21,54
Hoarseness,CA,4,16,51
Horner Syndrome,CA,72,68,1
Hot Flashes,CA,11,24,57
Hydrops Fetalis,CA,50,47,27
Hyperacusis,CA,65,43,14
Hyperalgesia,CA,55,76,25
Hypercalciuria,CA,73,69,2
Hypercapnia,CA,8,22,55
Hyperemesis Gravidarum,CA,16,28,63
Hyperesthesia,CA,31,80,76
Hypergammaglobulinemia,CA,2,46,78
Hyperkinesis,CA,1,32,77
Hyperoxia,CA,43,33,74
Hyperphagia,CA,22,1,41
Hyperventilation,CA,10,24,62
Hypesthesia,CA,31,80,76
Hypocapnia,CA,26,10,47
Hypokinesia,CA,68,67,17
Hypothermia,CA,12,25,58
Hypoventilation,CA,65,40,14
Illusions,CA,66,65,15
Intermittent Claudication,CA,69,61,18
Jaundice,CA,11,24,57
Korsakoff Syndrome,CA,14,42,60
Labor Pain,CA,11,24,57
Language Disorders,CA,66,65,15
Learning Disorders,CA,66,65,15
Lethargy,CA,11,24,57
Livedo Reticularis,CA,27,49,31
Low Back Pain,CA,11,24,57
Memory Disorders,CA,71,62,20
Mental Fatigue,CA,49,81,30
Mental Retardation,CA,66,65,15
Metatarsalgia,CA,54,15,24
Miosis,CA,56,50,26
Morning Sickness,CA,11,24,57
Motion Sickness,CA,11,24,57
Mouth Breathing,CA,11,24,57
Muscle Cramp,CA,21,18,68
Muscle Rigidity,CA,17,29,64
Muscle Spasticity,CA,25,8,38
Muscle Weakness,CA,14,42,60
Muscular Atrophy,CA,77,72,6
Mutism,CA,10,39,62
Myoclonus,CA,66,65,15
Myokymia,CA,66,65,15
Myotonia,CA,66,65,15
Nausea,CA,11,24,57
Neck Pain,CA,11,24,57
Necrolytic Migratory Erythema,CA,45,53,9
Neuralgia,CA,15,17,57
Nocturia,CA,9,27,56
Obesity,CA,66,65,15
Oliguria,CA,11,24,57
Ophthalmoplegia,CA,58,47,42
Orthostatic Intolerance,CA,37,5,73
Overweight,CA,11,24,57
Pain,CA,11,24,57
Pallor,CA,11,24,57
Paralysis,CA,11,24,57
Paraparesis,CA,78,77,7
Paraplegia,CA,23,15,36
Paresis,CA,76,64,5
Paresthesia,CA,11,24,57
Pelvic Pain,CA,11,24,57
Persistent Vegetative State,CA,24,7,37
Phantom Limb,CA,32,51,32
Photophobia,CA,47,56,11
Piriformis Muscle Syndrome,CA,78,74,7
Polyuria,CA,11,24,57
Presbycusis,CA,3,75,79
Prosopagnosia,CA,28,12,48
Prostatism,CA,23,9,36
Proteinuria,CA,65,40,14
Pruritus,CA,11,24,57
Pseudobulbar Palsy,CA,69,61,18
Pseudophakia,CA,44,34,75
Psychomotor Agitation,CA,22,1,41
Purpura,CA,38,35,44
Purpura Fulminans,CA,45,53,9
Quadriplegia,CA,4,16,51
Renal Colic,CA,27,10,47
Respiratory Aspiration,CA,74,70,3
Respiratory Sounds,CA,51,23,28
Reticulocytosis,CA,29,13,49
Sarcopenia,CA,72,68,1
Sciatica,CA,11,24,57
Scotoma,CA,43,33,74
Seizures,CA,11,24,57
Shoulder Pain,CA,11,24,57
Sleep Deprivation,CA,10,24,62
Sleep Disorders,CA,66,65,15
Sneezing,CA,11,24,57
Snoring,CA,11,24,57
Spasm,CA,11,24,57
Speech Disorders,CA,66,63,15
Stupor,CA,11,24,57
Stuttering,CA,5,38,52
Susac Syndrome,CA,24,7,37
Sweating Sickness,CA,34,3,70
Syncope,CA,11,24,57
Synkinesis,CA,36,6,72
Tetany,CA,30,14,50
Thinness,CA,46,55,10
Tics,CA,38,35,44
Tinea Pedis,CA,61,44,61
Tinnitus,CA,11,24,57
Toothache,CA,11,24,57
Torticollis,CA,13,26,59
Tremor,CA,11,24,61
Trismus,CA,68,67,17
Unconsciousness,CA,60,45,34
Urinary Incontinence,CA,10,42,62
Urinoma,CA,63,58,12
Vertigo,CA,11,24,57
Virilism,CA,61,49,31
Vocal Cord Paralysis,CA,62,39,35
Vomiting,CA,11,24,57
Waterhouse-Friderichsen Syndrome,CA,31,80,76
Weight Gain,CA,11,24,57
Weight Loss,CA,11,24,57
Abdominal Pain,CO,21,19,30
Acute Coronary Syndrome,CO,32,69,80
Ageusia,CO,58,29,36
Agnosia,CO,30,42,78
Alien Hand Syndrome,CO,4,26,13
Amaurosis Fugax,CO,36,34,84
Amblyopia,CO,31,68,79
Amnesia,CO,20,17,29
Angina Pectoris,CO,78,79,60
Anisocoria,CO,41,58,5
Anomia,CO,41,57,4
Anorexia,CO,76,77,45
Anoxia,CO,48,7,51
Aphasia,CO,3,14,26
Apnea,CO,63,61,71
Arthralgia,CO,26,38,74
Asthenia,CO,38,53,1
Ataxia,CO,44,56,11
Back Pain,CO,21,19,30
Birth Weight,CO,57,43,35
Blindness,CO,76,77,45
Body Weight,CO,65,64,67
Bulimia,CO,76,77,45
Cachexia,CO,80,81,64
Catatonia,CO,48,11,51
Chest Pain,CO,21,19,30
Chills,CO,21,19,30
Chorea,CO,74,72,47
Colic,CO,57,43,35
Coma,CO,20,17,29
Confusion,CO,27,39,75
Constipation,CO,21,19,30
Coprophagia,CO,75,76,44
Cough,CO,21,19,30
Cyanosis,CO,36,34,84
Deafness,CO,55,45,50
Delirium,CO,6,28,15
Diarrhea,CO,21,19,30
Diplopia,CO,53,1,49
Dizziness,CO,21,19,30
Dysarthria,CO,14,24,23
Dysgeusia,CO,50,42,55
Dyslexia,CO,77,78,46
Dysmenorrhea,CO,30,42,78
Dyspepsia,CO,42,59,6
Dysphonia,CO,75,76,44
Dyspnea,CO,24,20,32
Dystonia,CO,16,9,25
Dysuria,CO,17,10,27
Earache,CO,21,19,30
Ecchymosis,CO,45,55,8
Echolalia,CO,56,46,12
Edema,CO,22,18,31
Emaciation,CO,8,21,17
Encopresis,CO,69,70,48
Eructation,CO,39,51,2
Eye Pain,CO,21,19,30
Facial Pain,CO,49,8,52
Fasciculation,CO,31,68,79
Fatigue,CO,22,18,31
Feminization,CO,76,77,45
Fever,CO,21,19,30
Flank Pain,CO,19,16,28
Flatulence,CO,32,69,80
Flushing,CO,81,82,65
Gagging,CO,51,31,53
Gastroparesis,CO,15,19,24
Halitosis,CO,64,63,66
Hallucinations,CO,37,15,85
Headache,CO,21,19,30
Hearing Loss,CO,61,49,39
Heartburn,CO,21,19,30
Hematemesis,CO,82,83,57
