date,Morning Sickness,isPartial,state,symptom
2011-03-01,16,False,AL,Morning Sickness
2011-04-01,19,False,AL,Morning Sickness
2011-05-01,21,False,AL,Morning Sickness
2011-06-01,25,False,AL,Morning Sickness
2011-07-01,31,False,AL,Morning Sickness
2011-08-01,30,False,AL,Morning Sickness
2011-09-01,38,False,AL,Morning Sickness
2011-10-01,29,False,AL,Morning Sickness
2011-11-01,25,False,AL,Morning Sickness
2011-12-01,35,False,AL,Morning Sickness
2012-01-01,19,False,AL,Morning Sickness
2012-02-01,22,False,AL,Morning Sickness
2012-03-01,30,False,AL,Morning Sickness
2012-04-01,32,False,AL,Morning Sickness
2012-05-01,22,False,AL,Morning Sickness
2012-06-01,27,False,AL,Morning Sickness
2012-07-01,36,False,AL,Morning Sickness
2012-08-01,28,False,AL,Morning Sickness
2012-09-01,27,False,AL,Morning Sickness
2012-10-01,33,False,AL,Morning Sickness
2012-11-01,24,False,AL,Morning Sickness
2012-12-01,51,False,AL,Morning Sickness
2013-01-01,37,False,AL,Morning Sickness
2013-02-01,31,False,AL,Morning Sickness
2013-03-01,27,False,AL,Morning Sickness
2013-04-01,33,False,AL,Morning Sickness
2013-05-01,32,False,AL,Morning Sickness
2013-06-01,28,False,AL,Morning Sickness
2013-07-01,26,False,AL,Morning Sickness
2013-08-01,26,False,AL,Morning Sickness
2013-09-01,34,False,AL,Morning Sickness
2013-10-01,21,False,AL,Morning Sickness
2013-11-01,32,False,AL,Morning Sickness
2013-12-01,25,False,AL,Morning Sickness
2014-01-01,27,False,AL,Morning Sickness
2014-02-01,21,False,AL,Morning Sickness
2014-03-01,29,False,AL,Morning Sickness
2014-04-01,30,False,AL,Morning Sickness
2014-05-01,19,False,AL,Morning Sickness
2014-06-01,18,False,AL,Morning Sickness
2014-07-01,32,False,AL,Morning Sickness
2014-08-01,18,False,AL,Morning Sickness
2014-09-01,29,False,AL,Morning Sickness
2014-10-01,28,False,AL,Morning Sickness
2014-11-01,28,False,AL,Morning Sickness
2014-12-01,19,False,AL,Morning Sickness
2015-01-01,20,False,AL,Morning Sickness
2015-02-01,26,False,AL,Morning Sickness
2015-03-01,26,False,AL,Morning Sickness
2015-04-01,20,False,AL,Morning Sickness
2015-05-01,32,False,AL,Morning Sickness
2015-06-01,21,False,AL,Morning Sickness
2015-07-01,24,False,AL,Morning Sickness
2015-08-01,42,False,AL,Morning Sickness
2015-09-01,24,False,AL,Morning Sickness
2015-10-01,23,False,AL,Morning Sickness
2015-11-01,19,False,AL,Morning Sickness
2015-12-01,30,False,AL,Morning Sickness
2016-01-01,25,False,AL,Morning Sickness
2016-02-01,24,False,AL,Morning Sickness
2016-03-01,24,False,AL,Morning Sickness
2016-04-01,26,False,AL,Morning Sickness
2016-05-01,31,False,AL,Morning Sickness
2016-06-01,25,False,AL,Morning Sickness
2016-07-01,32,False,AL,Morning Sickness
2016-08-01,26,False,AL,Morning Sickness
2016-09-01,23,False,AL,Morning Sickness
2016-10-01,19,False,AL,Morning Sickness
2016-11-01,22,False,AL,Morning Sickness
2016-12-01,25,False,AL,Morning Sickness
2017-01-01,30,False,AL,Morning Sickness
2017-02-01,34,False,AL,Morning Sickness
2017-03-01,27,False,AL,Morning Sickness
2017-04-01,30,False,AL,Morning Sickness
2017-05-01,26,False,AL,Morning Sickness
2017-06-01,33,False,AL,Morning Sickness
2017-07-01,23,False,AL,Morning Sickness
2017-08-01,24,False,AL,Morning Sickness
2017-09-01,21,False,AL,Morning Sickness
2017-10-01,23,False,AL,Morning Sickness
2017-11-01,24,False,AL,Morning Sickness
2017-12-01,27,False,AL,Morning Sickness
2018-01-01,31,False,AL,Morning Sickness
2018-02-01,29,False,AL,Morning Sickness
2018-03-01,26,False,AL,Morning Sickness
2018-04-01,25,False,AL,Morning Sickness
2018-05-01,23,False,AL,Morning Sickness
2018-06-01,33,False,AL,Morning Sickness
2018-07-01,19,False,AL,Morning Sickness
2018-08-01,27,False,AL,Morning Sickness
2018-09-01,29,True,AL,Morning Sickness
date,Morning Sickness,isPartial,state,symptom
2004-01-01,0,False,AK,Morning Sickness
2004-02-01,0,False,AK,Morning Sickness
2004-03-01,0,False,AK,Morning Sickness
2004-04-01,0,False,AK,Morning Sickness
2004-05-01,100,False,AK,Morning Sickness
2004-06-01,0,False,AK,Morning Sickness
2004-07-01,0,False,AK,Morning Sickness
2004-08-01,0,False,AK,Morning Sickness
2004-09-01,89,False,AK,Morning Sickness
2004-10-01,0,False,AK,Morning Sickness
2004-11-01,96,False,AK,Morning Sickness
2004-12-01,0,False,AK,Morning Sickness
2005-01-01,0,False,AK,Morning Sickness
2005-02-01,0,False,AK,Morning Sickness
2005-03-01,0,False,AK,Morning Sickness
2005-04-01,0,False,AK,Morning Sickness
2005-05-01,0,False,AK,Morning Sickness
2005-06-01,0,False,AK,Morning Sickness
2005-07-01,0,False,AK,Morning Sickness
2005-08-01,0,False,AK,Morning Sickness
2005-09-01,0,False,AK,Morning Sickness
2005-10-01,57,False,AK,Morning Sickness
2005-11-01,59,False,AK,Morning Sickness
2005-12-01,55,False,AK,Morning Sickness
2006-01-01,0,False,AK,Morning Sickness
2006-02-01,51,False,AK,Morning Sickness
2006-03-01,45,False,AK,Morning Sickness
2006-04-01,0,False,AK,Morning Sickness
2006-05-01,47,False,AK,Morning Sickness
2006-06-01,0,False,AK,Morning Sickness
2006-07-01,47,False,AK,Morning Sickness
2006-08-01,42,False,AK,Morning Sickness
2006-09-01,42,False,AK,Morning Sickness
2006-10-01,0,False,AK,Morning Sickness
2006-11-01,79,False,AK,Morning Sickness
2006-12-01,78,False,AK,Morning Sickness
2007-01-01,0,False,AK,Morning Sickness
2007-02-01,36,False,AK,Morning Sickness
2007-03-01,66,False,AK,Morning Sickness
2007-04-01,33,False,AK,Morning Sickness
2007-05-01,0,False,AK,Morning Sickness
2007-06-01,35,False,AK,Morning Sickness
2007-07-01,65,False,AK,Morning Sickness
2007-08-01,0,False,AK,Morning Sickness
2007-09-01,61,False,AK,Morning Sickness
2007-10-01,27,False,AK,Morning Sickness
2007-11-01,0,False,AK,Morning Sickness
2007-12-01,42,False,AK,Morning Sickness
2008-01-01,51,False,AK,Morning Sickness
2008-02-01,52,False,AK,Morning Sickness
2008-03-01,28,False,AK,Morning Sickness
2008-04-01,51,False,AK,Morning Sickness
2008-05-01,55,False,AK,Morning Sickness
2008-06-01,40,False,AK,Morning Sickness
2008-07-01,38,False,AK,Morning Sickness
2008-08-01,24,False,AK,Morning Sickness
2008-09-01,23,False,AK,Morning Sickness
2008-10-01,43,False,AK,Morning Sickness
2008-11-01,23,False,AK,Morning Sickness
2008-12-01,23,False,AK,Morning Sickness
2009-01-01,64,False,AK,Morning Sickness
2009-02-01,34,False,AK,Morning Sickness
2009-03-01,0,False,AK,Morning Sickness
2009-04-01,20,False,AK,Morning Sickness
2009-05-01,67,False,AK,Morning Sickness
2009-06-01,68,False,AK,Morning Sickness
2009-07-01,33,False,AK,Morning Sickness
2009-08-01,32,False,AK,Morning Sickness
2009-09-01,0,False,AK,Morning Sickness
2009-10-01,30,False,AK,Morning Sickness
2009-11-01,0,False,AK,Morning Sickness
2009-12-01,30,False,AK,Morning Sickness
2010-01-01,19,False,AK,Morning Sickness
2010-02-01,20,False,AK,Morning Sickness
2010-03-01,18,False,AK,Morning Sickness
2010-04-01,18,False,AK,Morning Sickness
2010-05-01,50,False,AK,Morning Sickness
2010-06-01,82,False,AK,Morning Sickness
2010-07-01,27,False,AK,Morning Sickness
2010-08-01,35,False,AK,Morning Sickness
2010-09-01,98,False,AK,Morning Sickness
2010-10-01,34,False,AK,Morning Sickness
2010-11-01,25,False,AK,Morning Sickness
2010-12-01,66,False,AK,Morning Sickness
2011-01-01,42,False,AK,Morning Sickness
2011-02-01,38,False,AK,Morning Sickness
2011-03-01,17,False,AK,Morning Sickness
2011-04-01,18,False,AK,Morning Sickness
2011-05-01,49,False,AK,Morning Sickness
2011-06-01,25,False,AK,Morning Sickness
2011-07-01,50,False,AK,Morning Sickness
2011-08-01,40,False,AK,Morning Sickness
2011-09-01,40,False,AK,Morning Sickness
2011-10-01,33,False,AK,Morning Sickness
2011-11-01,38,False,AK,Morning Sickness
2011-12-01,60,False,AK,Morning Sickness
2012-01-01,48,False,AK,Morning Sickness
2012-02-01,32,False,AK,Morning Sickness
2012-03-01,44,False,AK,Morning Sickness
2012-04-01,17,False,AK,Morning Sickness
2012-05-01,57,False,AK,Morning Sickness
2012-06-01,22,False,AK,Morning Sickness
2012-07-01,61,False,AK,Morning Sickness
2012-08-01,29,False,AK,Morning Sickness
2012-09-01,39,False,AK,Morning Sickness
2012-10-01,36,False,AK,Morning Sickness
2012-11-01,37,False,AK,Morning Sickness
2012-12-01,35,False,AK,Morning Sickness
2013-01-01,24,False,AK,Morning Sickness
2013-02-01,28,False,AK,Morning Sickness
2013-03-01,29,False,AK,Morning Sickness
2013-04-01,29,False,AK,Morning Sickness
2013-05-01,21,False,AK,Morning Sickness
2013-06-01,19,False,AK,Morning Sickness
2013-07-01,13,False,AK,Morning Sickness
2013-08-01,51,False,AK,Morning Sickness
2013-09-01,55,False,AK,Morning Sickness
2013-10-01,24,False,AK,Morning Sickness
2013-11-01,34,False,AK,Morning Sickness
2013-12-01,58,False,AK,Morning Sickness
2014-01-01,39,False,AK,Morning Sickness
2014-02-01,40,False,AK,Morning Sickness
2014-03-01,35,False,AK,Morning Sickness
2014-04-01,24,False,AK,Morning Sickness
2014-05-01,52,False,AK,Morning Sickness
2014-06-01,35,False,AK,Morning Sickness
2014-07-01,38,False,AK,Morning Sickness
2014-08-01,23,False,AK,Morning Sickness
2014-09-01,22,False,AK,Morning Sickness
2014-10-01,22,False,AK,Morning Sickness
2014-11-01,45,False,AK,Morning Sickness
2014-12-01,23,False,AK,Morning Sickness
2015-01-01,18,False,AK,Morning Sickness
2015-02-01,24,False,AK,Morning Sickness
2015-03-01,35,False,AK,Morning Sickness
2015-04-01,17,False,AK,Morning Sickness
2015-05-01,18,False,AK,Morning Sickness
2015-06-01,14,False,AK,Morning Sickness
2015-07-01,30,False,AK,Morning Sickness
2015-08-01,21,False,AK,Morning Sickness
2015-09-01,29,False,AK,Morning Sickness
2015-10-01,48,False,AK,Morning Sickness
2015-11-01,29,False,AK,Morning Sickness
2015-12-01,50,False,AK,Morning Sickness
2016-01-01,46,False,AK,Morning Sickness
2016-02-01,24,False,AK,Morning Sickness
2016-03-01,19,False,AK,Morning Sickness
2016-04-01,31,False,AK,Morning Sickness
2016-05-01,23,False,AK,Morning Sickness
2016-06-01,40,False,AK,Morning Sickness
2016-07-01,19,False,AK,Morning Sickness
2016-08-01,26,False,AK,Morning Sickness
2016-09-01,15,False,AK,Morning Sickness
2016-10-01,49,False,AK,Morning Sickness
2016-11-01,19,False,AK,Morning Sickness
2016-12-01,41,False,AK,Morning Sickness
2017-01-01,29,False,AK,Morning Sickness
2017-02-01,31,False,AK,Morning Sickness
2017-03-01,31,False,AK,Morning Sickness
2017-04-01,29,False,AK,Morning Sickness
2017-05-01,11,False,AK,Morning Sickness
2017-06-01,49,False,AK,Morning Sickness
2017-07-01,27,False,AK,Morning Sickness
2017-08-01,44,False,AK,Morning Sickness
2017-09-01,38,False,AK,Morning Sickness
2017-10-01,48,False,AK,Morning Sickness
2017-11-01,30,False,AK,Morning Sickness
2017-12-01,26,False,AK,Morning Sickness
2018-01-01,28,False,AK,Morning Sickness
2018-02-01,42,False,AK,Morning Sickness
2018-03-01,31,False,AK,Morning Sickness
2018-04-01,29,False,AK,Morning Sickness
2018-05-01,47,False,AK,Morning Sickness
2018-06-01,30,False,AK,Morning Sickness
2018-07-01,39,False,AK,Morning Sickness
2018-08-01,35,False,AK,Morning Sickness
2018-09-01,44,True,AK,Morning Sickness
date,Morning Sickness,isPartial,state,symptom
2004-01-01,0,False,AZ,Morning Sickness
2004-02-01,54,False,AZ,Morning Sickness
2004-03-01,94,False,AZ,Morning Sickness
2004-04-01,84,False,AZ,Morning Sickness
2004-05-01,94,False,AZ,Morning Sickness
2004-06-01,31,False,AZ,Morning Sickness
2004-07-01,63,False,AZ,Morning Sickness
2004-08-01,42,False,AZ,Morning Sickness
2004-09-01,26,False,AZ,Morning Sickness
2004-10-01,55,False,AZ,Morning Sickness
2004-11-01,28,False,AZ,Morning Sickness
2004-12-01,25,False,AZ,Morning Sickness
2005-01-01,55,False,AZ,Morning Sickness
2005-02-01,46,False,AZ,Morning Sickness
2005-03-01,39,False,AZ,Morning Sickness
2005-04-01,76,False,AZ,Morning Sickness
2005-05-01,0,False,AZ,Morning Sickness
2005-06-01,30,False,AZ,Morning Sickness
2005-07-01,29,False,AZ,Morning Sickness
2005-08-01,71,False,AZ,Morning Sickness
2005-09-01,83,False,AZ,Morning Sickness
2005-10-01,16,False,AZ,Morning Sickness
2005-11-01,49,False,AZ,Morning Sickness
2005-12-01,39,False,AZ,Morning Sickness
2006-01-01,27,False,AZ,Morning Sickness
2006-02-01,35,False,AZ,Morning Sickness
2006-03-01,37,False,AZ,Morning Sickness
2006-04-01,38,False,AZ,Morning Sickness
2006-05-01,60,False,AZ,Morning Sickness
2006-06-01,56,False,AZ,Morning Sickness
2006-07-01,49,False,AZ,Morning Sickness
2006-08-01,11,False,AZ,Morning Sickness
2006-09-01,38,False,AZ,Morning Sickness
2006-10-01,30,False,AZ,Morning Sickness
2006-11-01,51,False,AZ,Morning Sickness
2006-12-01,36,False,AZ,Morning Sickness
2007-01-01,40,False,AZ,Morning Sickness
2007-02-01,51,False,AZ,Morning Sickness
2007-03-01,29,False,AZ,Morning Sickness
2007-04-01,62,False,AZ,Morning Sickness
2007-05-01,39,False,AZ,Morning Sickness
2007-06-01,16,False,AZ,Morning Sickness
2007-07-01,59,False,AZ,Morning Sickness
2007-08-01,40,False,AZ,Morning Sickness
2007-09-01,51,False,AZ,Morning Sickness
2007-10-01,34,False,AZ,Morning Sickness
2007-11-01,42,False,AZ,Morning Sickness
2007-12-01,25,False,AZ,Morning Sickness
2008-01-01,54,False,AZ,Morning Sickness
2008-02-01,59,False,AZ,Morning Sickness
2008-03-01,31,False,AZ,Morning Sickness
2008-04-01,43,False,AZ,Morning Sickness
2008-05-01,44,False,AZ,Morning Sickness
2008-06-01,53,False,AZ,Morning Sickness
2008-07-01,54,False,AZ,Morning Sickness
2008-08-01,63,False,AZ,Morning Sickness
2008-09-01,51,False,AZ,Morning Sickness
2008-10-01,36,False,AZ,Morning Sickness
2008-11-01,43,False,AZ,Morning Sickness
2008-12-01,33,False,AZ,Morning Sickness
2009-01-01,52,False,AZ,Morning Sickness
2009-02-01,62,False,AZ,Morning Sickness
2009-03-01,30,False,AZ,Morning Sickness
2009-04-01,29,False,AZ,Morning Sickness
2009-05-01,44,False,AZ,Morning Sickness
2009-06-01,49,False,AZ,Morning Sickness
2009-07-01,51,False,AZ,Morning Sickness
2009-08-01,36,False,AZ,Morning Sickness
2009-09-01,53,False,AZ,Morning Sickness
2009-10-01,67,False,AZ,Morning Sickness
2009-11-01,51,False,AZ,Morning Sickness
2009-12-01,48,False,AZ,Morning Sickness
2010-01-01,73,False,AZ,Morning Sickness
2010-02-01,50,False,AZ,Morning Sickness
2010-03-01,46,False,AZ,Morning Sickness
2010-04-01,86,False,AZ,Morning Sickness
2010-05-01,67,False,AZ,Morning Sickness
2010-06-01,30,False,AZ,Morning Sickness
2010-07-01,62,False,AZ,Morning Sickness
2010-08-01,58,False,AZ,Morning Sickness
2010-09-01,53,False,AZ,Morning Sickness
2010-10-01,47,False,AZ,Morning Sickness
2010-11-01,35,False,AZ,Morning Sickness
2010-12-01,51,False,AZ,Morning Sickness
2011-01-01,47,False,AZ,Morning Sickness
2011-02-01,43,False,AZ,Morning Sickness
2011-03-01,54,False,AZ,Morning Sickness
2011-04-01,57,False,AZ,Morning Sickness
2011-05-01,71,False,AZ,Morning Sickness
2011-06-01,67,False,AZ,Morning Sickness
2011-07-01,81,False,AZ,Morning Sickness
2011-08-01,61,False,AZ,Morning Sickness
2011-09-01,74,False,AZ,Morning Sickness
2011-10-01,54,False,AZ,Morning Sickness
2011-11-01,71,False,AZ,Morning Sickness
2011-12-01,56,False,AZ,Morning Sickness
2012-01-01,68,False,AZ,Morning Sickness
2012-02-01,52,False,AZ,Morning Sickness
2012-03-01,58,False,AZ,Morning Sickness
2012-04-01,54,False,AZ,Morning Sickness
2012-05-01,61,False,AZ,Morning Sickness
2012-06-01,60,False,AZ,Morning Sickness
2012-07-01,58,False,AZ,Morning Sickness
2012-08-01,69,False,AZ,Morning Sickness
2012-09-01,70,False,AZ,Morning Sickness
2012-10-01,60,False,AZ,Morning Sickness
2012-11-01,75,False,AZ,Morning Sickness
2012-12-01,63,False,AZ,Morning Sickness
2013-01-01,69,False,AZ,Morning Sickness
2013-02-01,82,False,AZ,Morning Sickness
2013-03-01,61,False,AZ,Morning Sickness
2013-04-01,68,False,AZ,Morning Sickness
2013-05-01,77,False,AZ,Morning Sickness
2013-06-01,68,False,AZ,Morning Sickness
2013-07-01,68,False,AZ,Morning Sickness
2013-08-01,58,False,AZ,Morning Sickness
2013-09-01,58,False,AZ,Morning Sickness
2013-10-01,62,False,AZ,Morning Sickness
2013-11-01,61,False,AZ,Morning Sickness
2013-12-01,52,False,AZ,Morning Sickness
2014-01-01,54,False,AZ,Morning Sickness
2014-02-01,61,False,AZ,Morning Sickness
2014-03-01,59,False,AZ,Morning Sickness
2014-04-01,61,False,AZ,Morning Sickness
2014-05-01,75,False,AZ,Morning Sickness
2014-06-01,63,False,AZ,Morning Sickness
2014-07-01,59,False,AZ,Morning Sickness
2014-08-01,51,False,AZ,Morning Sickness
2014-09-01,82,False,AZ,Morning Sickness
2014-10-01,68,False,AZ,Morning Sickness
2014-11-01,39,False,AZ,Morning Sickness
2014-12-01,55,False,AZ,Morning Sickness
2015-01-01,51,False,AZ,Morning Sickness
2015-02-01,65,False,AZ,Morning Sickness
2015-03-01,50,False,AZ,Morning Sickness
2015-04-01,62,False,AZ,Morning Sickness
2015-05-01,62,False,AZ,Morning Sickness
2015-06-01,70,False,AZ,Morning Sickness
2015-07-01,77,False,AZ,Morning Sickness
2015-08-01,67,False,AZ,Morning Sickness
2015-09-01,57,False,AZ,Morning Sickness
2015-10-01,45,False,AZ,Morning Sickness
2015-11-01,71,False,AZ,Morning Sickness
2015-12-01,48,False,AZ,Morning Sickness
2016-01-01,67,False,AZ,Morning Sickness
2016-02-01,57,False,AZ,Morning Sickness
2016-03-01,67,False,AZ,Morning Sickness
2016-04-01,66,False,AZ,Morning Sickness
2016-05-01,100,False,AZ,Morning Sickness
2016-06-01,70,False,AZ,Morning Sickness
2016-07-01,65,False,AZ,Morning Sickness
2016-08-01,88,False,AZ,Morning Sickness
2016-09-01,63,False,AZ,Morning Sickness
2016-10-01,61,False,AZ,Morning Sickness
2016-11-01,61,False,AZ,Morning Sickness
2016-12-01,71,False,AZ,Morning Sickness
2017-01-01,64,False,AZ,Morning Sickness
2017-02-01,74,False,AZ,Morning Sickness
2017-03-01,67,False,AZ,Morning Sickness
2017-04-01,74,False,AZ,Morning Sickness
2017-05-01,72,False,AZ,Morning Sickness
2017-06-01,86,False,AZ,Morning Sickness
2017-07-01,70,False,AZ,Morning Sickness
2017-08-01,63,False,AZ,Morning Sickness
2017-09-01,78,False,AZ,Morning Sickness
2017-10-01,70,False,AZ,Morning Sickness
2017-11-01,60,False,AZ,Morning Sickness
2017-12-01,63,False,AZ,Morning Sickness
2018-01-01,58,False,AZ,Morning Sickness
2018-02-01,65,False,AZ,Morning Sickness
2018-03-01,80,False,AZ,Morning Sickness
2018-04-01,66,False,AZ,Morning Sickness
2018-05-01,65,False,AZ,Morning Sickness
2018-06-01,81,False,AZ,Morning Sickness
2018-07-01,82,False,AZ,Morning Sickness
2018-08-01,72,False,AZ,Morning Sickness
2018-09-01,80,True,AZ,Morning Sickness
date,Morning Sickness,isPartial,state,symptom
2004-01-01,76,False,AR,Morning Sickness
2004-02-01,72,False,AR,Morning Sickness
2004-03-01,100,False,AR,Morning Sickness
2004-04-01,0,False,AR,Morning Sickness
2004-05-01,71,False,AR,Morning Sickness
2004-06-01,73,False,AR,Morning Sickness
2004-07-01,74,False,AR,Morning Sickness
2004-08-01,65,False,AR,Morning Sickness
2004-09-01,0,False,AR,Morning Sickness
2004-10-01,0,False,AR,Morning Sickness
2004-11-01,0,False,AR,Morning Sickness
2004-12-01,60,False,AR,Morning Sickness
2005-01-01,52,False,AR,Morning Sickness
2005-02-01,54,False,AR,Morning Sickness
2005-03-01,47,False,AR,Morning Sickness
2005-04-01,52,False,AR,Morning Sickness
2005-05-01,0,False,AR,Morning Sickness
2005-06-01,0,False,AR,Morning Sickness
2005-07-01,52,False,AR,Morning Sickness
2005-08-01,45,False,AR,Morning Sickness
2005-09-01,75,False,AR,Morning Sickness
2005-10-01,70,False,AR,Morning Sickness
2005-11-01,0,False,AR,Morning Sickness
2005-12-01,35,False,AR,Morning Sickness
2006-01-01,30,False,AR,Morning Sickness
2006-02-01,0,False,AR,Morning Sickness
2006-03-01,0,False,AR,Morning Sickness
2006-04-01,28,False,AR,Morning Sickness
2006-05-01,28,False,AR,Morning Sickness
2006-06-01,0,False,AR,Morning Sickness
2006-07-01,27,False,AR,Morning Sickness
2006-08-01,74,False,AR,Morning Sickness
2006-09-01,48,False,AR,Morning Sickness
2006-10-01,33,False,AR,Morning Sickness
2006-11-01,23,False,AR,Morning Sickness
2006-12-01,25,False,AR,Morning Sickness
2007-01-01,22,False,AR,Morning Sickness
2007-02-01,44,False,AR,Morning Sickness
2007-03-01,42,False,AR,Morning Sickness
2007-04-01,0,False,AR,Morning Sickness
2007-05-01,18,False,AR,Morning Sickness
2007-06-01,20,False,AR,Morning Sickness
2007-07-01,45,False,AR,Morning Sickness
2007-08-01,16,False,AR,Morning Sickness
2007-09-01,40,False,AR,Morning Sickness
2007-10-01,22,False,AR,Morning Sickness
2007-11-01,22,False,AR,Morning Sickness
2007-12-01,15,False,AR,Morning Sickness
2008-01-01,28,False,AR,Morning Sickness
2008-02-01,20,False,AR,Morning Sickness
2008-03-01,27,False,AR,Morning Sickness
2008-04-01,38,False,AR,Morning Sickness
2008-05-01,13,False,AR,Morning Sickness
2008-06-01,29,False,AR,Morning Sickness
2008-07-01,14,False,AR,Morning Sickness
2008-08-01,40,False,AR,Morning Sickness
2008-09-01,25,False,AR,Morning Sickness
2008-10-01,17,False,AR,Morning Sickness
2008-11-01,13,False,AR,Morning Sickness
2008-12-01,12,False,AR,Morning Sickness
2009-01-01,29,False,AR,Morning Sickness
2009-02-01,24,False,AR,Morning Sickness
2009-03-01,27,False,AR,Morning Sickness
2009-04-01,16,False,AR,Morning Sickness
2009-05-01,23,False,AR,Morning Sickness
2009-06-01,43,False,AR,Morning Sickness
2009-07-01,18,False,AR,Morning Sickness
2009-08-01,23,False,AR,Morning Sickness
2009-09-01,22,False,AR,Morning Sickness
2009-10-01,21,False,AR,Morning Sickness
2009-11-01,38,False,AR,Morning Sickness
2009-12-01,33,False,AR,Morning Sickness
2010-01-01,21,False,AR,Morning Sickness
2010-02-01,11,False,AR,Morning Sickness
2010-03-01,35,False,AR,Morning Sickness
2010-04-01,0,False,AR,Morning Sickness
2010-05-01,39,False,AR,Morning Sickness
2010-06-01,49,False,AR,Morning Sickness
2010-07-01,48,False,AR,Morning Sickness
2010-08-01,22,False,AR,Morning Sickness
2010-09-01,37,False,AR,Morning Sickness
2010-10-01,44,False,AR,Morning Sickness
2010-11-01,38,False,AR,Morning Sickness
2010-12-01,38,False,AR,Morning Sickness
2011-01-01,32,False,AR,Morning Sickness
2011-02-01,22,False,AR,Morning Sickness
2011-03-01,20,False,AR,Morning Sickness
2011-04-01,29,False,AR,Morning Sickness
2011-05-01,26,False,AR,Morning Sickness
2011-06-01,32,False,AR,Morning Sickness
2011-07-01,26,False,AR,Morning Sickness
2011-08-01,31,False,AR,Morning Sickness
