state,cluster,corr,members,window
MS,6,0.8072123026566237,"['Cough', 'Birth Weight', 'Muscle Weakness']",2005-01
MT,10,0.8410705889851674,"['Ataxia', 'Birth Weight']",2005-01
NC,13,0.9999999999999996,"['Tinea Pedis', 'Alien Hand Syndrome', 'Phantom Limb', 'Presbycusis']",2005-01
ND,12,0.6887214572394745,"['Chills', 'Paralysis', 'Tinnitus', 'Amnesia', 'Torticollis']",2005-01
NE,15,0.7135608215191773,"['Syncope', 'Dyslexia']",2005-01
NH,2,0.6612937042500033,"['Syncope', 'Hypercapnia', 'Shoulder Pain', 'Purpura', 'Anorexia']",2005-01
NJ,17,0.7013428136475258,"['Earache', 'Hot Flashes', 'Headache']",2005-01
NM,1,0.6673167761204704,"['Chills', 'Sciatica', 'Gagging', 'Diarrhea', 'Dyspnea', 'Toothache', 'Flatulence', 'Chorea', 'Dyspepsia', 'Myoclonus', 'Coprophagia']",2005-01
NV,1,0.6626520332612683,"['Arthralgia', 'Obesity', 'Tremor', 'Hypothermia', 'Paresthesia', 'Motion Sickness', 'Torticollis', 'Delirium', 'Bulimia', 'Cachexia']",2005-01
NY,16,0.6183325537038955,"['Delirium', 'Hyperemesis Gravidarum', 'Pruritus', 'Fetal Distress', 'Phantom Limb']",2005-01
OH,19,0.6233900909135267,"['Vertigo', 'Hypercapnia', 'Pain', 'Dystonia', 'Encopresis', 'Delirium', 'Ecchymosis', 'Hemiplegia']",2005-01
OK,9,0.716701902236637,"['Polyuria', 'Seizures', 'Hirsutism', 'Deafness', 'Tetany', 'Myoclonus', 'Torticollis']",2005-01
OR,15,0.6764993036062947,"['Paresis', 'Aphasia', 'Lethargy', 'Dysgeusia']",2005-01
PA,16,0.6772787047599507,"['Diarrhea', 'Labor Pain', 'Paraplegia', 'Hydrops Fetalis']",2005-01
RI,4,0.6749931620925835,"['Feminization', 'Mutism']",2005-01
SC,9,0.6918955685602876,"['Hearing Loss', 'Diarrhea', 'Stuttering', 'Ataxia']",2005-01
SD,1,0.6309327214292083,"['Birth Weight', 'Seizures', 'Deafness', 'Neck Pain', 'Chorea', 'Amnesia']",2005-01
TN,1,0.6023518699618204,"['Hiccup', 'Dyslexia', 'Vomiting']",2005-01
TX,20,0.6249980531812453,"['Intermittent Claudication', 'Purpura', 'Angina Pectoris']",2005-01
UT,5,0.6508746293863703,"['Earache', 'Illusions', 'Chills']",2005-01
VA,13,0.7096926382288796,"['Bulimia', 'Hearing Loss']",2005-01
VT,11,0.698123092416449,"['Cough', 'Spasm', 'Pelvic Pain', 'Sleep Deprivation']",2005-01
WA,17,0.6608160582990111,"['Sneezing', 'Snoring', 'Mental Retardation']",2005-01
WI,17,1.0000000000000002,"['Miosis', 'Trismus']",2005-01
WV,8,0.7875749586922669,"['Photophobia', 'Weight Gain', 'Coma', 'Diplopia', 'Morning Sickness', 'Delirium', 'Mental Retardation']",2005-01
WY,5,0.6869171316769356,"['Chills', 'Diarrhea', 'Nausea', 'Sneezing', 'Tetany', 'Fever', 'Low Back Pain']",2005-01
AK,4,0.9997400424393716,"['Gastroparesis', 'Neuralgia']",2005-02
AL,5,0.6741633392080217,"['Anisocoria', 'Labor Pain', 'Catatonia', 'Cerebellar Ataxia', 'Vomiting']",2005-02
AR,2,0.7411120294345074,"['Pelvic Pain', 'Anisocoria', 'Hoarseness', 'Neuralgia', 'Anoxia', 'Metatarsalgia', 'Urinary Incontinence', 'Eructation', 'Hematemesis']",2005-02
AZ,17,0.6353697588154058,"['Anomia', 'Sciatica', 'Headache', 'Back Pain', 'Dysgeusia']",2005-02
CA,12,0.6585943497346821,"['Tetany', 'Intermittent Claudication', 'Mental Fatigue']",2005-02
CO,16,0.7282299579774455,"['Asthenia', 'Vomiting']",2005-02
CT,1,0.7464418159131071,"['Delirium', 'Aphasia', 'Cachexia', 'Sarcopenia']",2005-02
DC,14,0.6204506809599385,"['Agnosia', 'Sciatica', 'Gagging', 'Ataxia']",2005-02
DE,14,0.6852836503613591,"['Nocturia', 'Birth Weight', 'Ataxia', 'Hypothermia', 'Weight Gain', 'Neck Pain']",2005-02
FL,9,0.6377290403769743,"['Confusion', 'Dystonia', 'Body Weight']",2005-02
GA,4,0.7607059448056168,"['Amaurosis Fugax', 'Hypothermia', 'Hydrops Fetalis', 'Cachexia']",2005-02
HI,10,0.6434440038316114,"['Polyuria', 'Birth Weight', 'Prosopagnosia', 'Amnesia', 'Hemiplegia', 'Flushing', 'Dyslexia']",2005-02
IA,17,0.7110224018523487,"['Polyuria', 'Hyperventilation', 'Body Weight', 'Earache', 'Catatonia', 'Snoring', 'Dyslexia']",2005-02
ID,10,0.6207275231773849,"['Angina Pectoris', 'Fever', 'Halitosis', 'Pelvic Pain', 'Ataxia']",2005-02
IL,11,0.6832214566196994,"['Morning Sickness', 'Gagging', 'Flatulence']",2005-02
IN,3,0.6940754267172609,"['Heartburn', 'Weight Loss', 'Unconsciousness', 'Cough', 'Coprophagia']",2005-02
KS,10,0.6982986864601024,"['Chest Pain', 'Paralysis', 'Body Weight']",2005-02
KY,5,0.655284299887645,"['Tinea Pedis', 'Dyspnea', 'Aphasia', 'Hemianopsia', 'Paralysis', 'Paresthesia', 'Confusion', 'Labor Pain', 'Pallor', 'Communication Disorders', 'Mental Retardation']",2005-02
LA,2,0.7895059768527095,"['Metatarsalgia', 'Paraplegia', 'Catatonia', 'Proteinuria']",2005-02
MA,1,0.5881127585116258,"['Fasciculation', 'Speech Disorders', 'Presbycusis']",2005-02
MD,7,0.6599884618841639,"['Sleep Deprivation', 'Toothache', 'Birth Weight']",2005-02
ME,5,0.7709387617336038,"['Low Back Pain', 'Delirium', 'Feminization', 'Proteinuria']",2005-02
MI,7,0.6988624312088619,"['Weight Loss', 'Shoulder Pain', 'Confusion']",2005-02
MN,9,0.6796917427913169,"['Dizziness', 'Proteinuria']",2005-02
MO,12,0.7287950966295805,"['Intermittent Claudication', 'Chest Pain', 'Acute Coronary Syndrome', 'Pruritus', 'Catatonia']",2005-02
MS,11,0.7745060360609647,"['Seizures', 'Constipation']",2005-02
MT,7,0.8617095573040405,"['Bulimia', 'Tics', 'Dyspnea']",2005-02
NC,14,0.6606918738980372,"['Hirsutism', 'Communication Disorders']",2005-02
ND,8,0.8319078064140537,"['Chills', 'Amnesia', 'Torticollis', 'Paralysis', 'Tinnitus']",2005-02
NE,4,0.7537776177397837,"['Syncope', 'Dyslexia']",2005-02
NH,13,0.5959778928151932,"['Feminization', 'Sneezing', 'Dyslexia']",2005-02
NJ,3,0.6386230590417876,"['Korsakoff Syndrome', 'Intermittent Claudication', 'Tremor', 'Ophthalmoplegia', 'Mental Retardation']",2005-02
NM,4,0.6930665691786843,"['Illusions', 'Shoulder Pain', 'Paresthesia', 'Headache', 'Labor Pain']",2005-02
NV,6,0.9431684945066264,"['Hypercapnia', 'Cough', 'Hoarseness']",2005-02
NY,9,0.7777572744599047,"['Pallor', 'Dyspepsia']",2005-02
OH,16,0.6561627050700664,"['Myotonia', 'Anomia', 'Sciatica', 'Constipation']",2005-02
OK,4,0.7938580259377782,"['Fatigue', 'Birth Weight']",2005-02
OR,11,0.6499561269657818,"['Angina Pectoris', 'Stupor', 'Fasciculation', 'Emaciation', 'Renal Colic']",2005-02
PA,10,0.6869136447847024,"['Low Back Pain', 'Albuminuria']",2005-02
RI,11,0.7422998000450494,"['Feminization', 'Mutism']",2005-02
SC,10,0.6649933757379708,"['Shoulder Pain', 'Neuralgia']",2005-02
SD,10,0.7156295805330947,"['Seizures', 'Deafness', 'Neck Pain', 'Chorea', 'Amnesia']",2005-02
TN,10,0.6040853219737812,"['Chills', 'Anisocoria', 'Hirsutism', 'Shoulder Pain', 'Albuminuria', 'Hemoptysis', 'Anoxia', 'Hemiplegia', 'Miosis', 'Pallor', 'Dystonia', 'Mutism', 'Muscle Cramp', 'Paraplegia']",2005-02
TX,11,0.6095221512635033,"['Pseudophakia', 'Hearing Loss', 'Overweight', 'Anisocoria', 'Jaundice', 'Gastroparesis', 'Fatigue', 'Paraplegia']",2005-02
UT,3,0.8423273328706529,"['Arthralgia', 'Paresthesia', 'Muscle Weakness', 'Dysarthria', 'Hemiplegia']",2005-02
VA,7,0.5918302334519269,"['Ataxia', 'Sneezing', 'Pain']",2005-02
VT,10,0.6636767958071288,"['Hallucinations', 'Hearing Loss', 'Aphasia', 'Snoring']",2005-02
WA,1,0.7525272920531944,"['Hemoglobinuria', 'Anomia', 'Ecchymosis', 'Hyperacusis', 'Hirsutism']",2005-02
WI,2,0.6485245221970534,"['Motion Sickness', 'Amblyopia', 'Muscle Weakness']",2005-02
WV,5,0.6900449478574128,"['Tremor', 'Anisocoria', 'Deafness', 'Chorea', 'Dyspepsia']",2005-02
WY,9,0.8024648085685571,"['Dystonia', 'Tics', 'Amnesia', 'Hot Flashes', 'Dyslexia']",2005-02
AK,3,0.8547523019549023,"['Gastroparesis', 'Neuralgia']",2005-03
AL,7,0.67097285033738,"['Heartburn', 'Gagging', 'Pelvic Pain', 'Shoulder Pain', 'Hallucinations', 'Dysarthria', 'Muscular Atrophy', 'Tetany', 'Blindness']",2005-03
AR,11,0.7930546243927317,"['Gastroparesis', 'Eye Pain', 'Toothache', 'Muscle Weakness']",2005-03
AZ,5,0.7362943982517056,"['Sweating Sickness', 'Paresthesia', 'Dysphonia', 'Chorea', 'Metatarsalgia', 'Miosis']",2005-03
CA,6,0.6477476399618461,"['Respiratory Sounds', 'Heartburn', 'Vomiting', 'Catatonia', 'Reticulocytosis']",2005-03
CO,13,0.7263195859359861,"['Asthenia', 'Vomiting']",2005-03
CT,16,0.6781446377970252,"['Dyspepsia', 'Body Weight']",2005-03
DC,16,0.6712545929372097,"['Feminization', 'Sleep Disorders', 'Purpura']",2005-03
DE,12,0.6562621648601958,"['Nocturia', 'Birth Weight', 'Ataxia', 'Hypothermia', 'Weight Gain', 'Neck Pain']",2005-03
FL,11,0.6033775635462016,"['Seizures', 'Stuttering']",2005-03
GA,4,0.6991260715964265,"['Hemianopsia', 'Hydrops Fetalis']",2005-03
HI,14,0.6348904707320412,"['Halitosis', 'Pain', 'Sleep Deprivation', 'Low Back Pain', 'Gastroparesis', 'Abdominal Pain', 'Constipation']",2005-03
IA,5,0.7665444769626651,"['Pruritus', 'Anoxia', 'Diarrhea', 'Metatarsalgia', 'Paraplegia']",2005-03
ID,7,0.6484448573139687,"['Weight Loss', 'Shoulder Pain', 'Edema', 'Hallucinations', 'Flushing']",2005-03
IL,14,0.6713320873310539,"['Eye Pain', 'Anisocoria', 'Urinary Incontinence', 'Cachexia']",2005-03
IN,5,0.6933031297304071,"['Heartburn', 'Weight Loss', 'Unconsciousness', 'Flatulence', 'Cough', 'Coprophagia', 'Hypoventilation']",2005-03
KS,11,0.6303722380192321,"['Chills', 'Syncope', 'Sleep Disorders', 'Tics', 'Vomiting', 'Hemiplegia', 'Paraplegia']",2005-03
KY,9,0.6234902022422512,"['Morning Sickness', 'Sciatica', 'Stuttering']",2005-03
LA,10,0.7895059768527095,"['Metatarsalgia', 'Paraplegia', 'Catatonia', 'Proteinuria']",2005-03
MA,3,0.6217931916224745,"['Dysarthria', 'Paraplegia', 'Muscle Weakness']",2005-03
MD,11,0.7115694080363371,"['Syncope', 'Mutism', 'Facial Pain', 'Hemoglobinuria', 'Hyperemesis Gravidarum', 'Fasciculation', 'Dysphonia']",2005-03
ME,10,0.6725006006216131,"['Hearing Loss', 'Dysmenorrhea', 'Neck Pain', 'Proteinuria', 'Dysuria', 'Low Back Pain', 'Hyperventilation', 'Pruritus']",2005-03
MI,3,0.7271073335209604,"['Anomia', 'Echolalia', 'Dysmenorrhea', 'Flatulence', 'Facial Paralysis', 'Hyperesthesia', 'Paresis', 'Hematemesis', 'Catatonia']",2005-03
MN,7,0.703294266447477,"['Eye Pain', 'Amnesia', 'Dysmenorrhea']",2005-03
MO,10,0.7008607909922652,"['Aphasia', 'Chest Pain', 'Acute Coronary Syndrome', 'Pruritus', 'Catatonia']",2005-03
MS,3,0.8049533786860438,"['Dyspnea', 'Dysmenorrhea', 'Aphasia', 'Dystonia', 'Hemiplegia', 'Hoarseness']",2005-03
MT,13,0.7175014884634295,"['Chills', 'Gagging', 'Hearing Loss', 'Overweight', 'Pelvic Pain', 'Encopresis', 'Dysphonia', 'Flushing']",2005-03
NC,18,0.6205034506748502,"['Birth Weight', 'Jaundice', 'Proteinuria']",2005-03
ND,8,0.70378481804929,"['Sciatica', 'Hypothermia', 'Tinnitus', 'Toothache', 'Paralysis', 'Morning Sickness', 'Anorexia', 'Eye Pain']",2005-03
NE,14,0.7070408387646395,"['Apnea', 'Constipation', 'Tics', 'Neuralgia']",2005-03
NH,2,0.6822437383535408,"['Diarrhea', 'Paresthesia', 'Dysphonia', 'Cyanosis', 'Dysarthria', 'Hyperventilation', 'Ecchymosis', 'Cachexia']",2005-03
NJ,17,0.6418722906378311,"['Unconsciousness', 'Language Disorders', 'Vomiting', 'Hallucinations', 'Cough']",2005-03
NM,13,0.6509834094638371,"['Syncope', 'Ataxia', 'Hypothermia', 'Hemoptysis', 'Gastroparesis', 'Stuttering']",2005-03
NV,4,0.6646210812281085,"['Confusion', 'Syncope', 'Dyspepsia']",2005-03
NY,19,0.6794395808772251,"['Athetosis', 'Persistent Vegetative State', 'Hyperemesis Gravidarum', 'Feminization', 'Dyslexia']",2005-03
OH,10,0.7352869885587748,"['Asthenia', 'Amnesia', 'Obesity']",2005-03
OK,4,0.7076078673377955,"['Polyuria', 'Seizures', 'Hirsutism', 'Deafness', 'Tetany']",2005-03
OR,7,0.7030034345881034,"['Illusions', 'Stuttering', 'Coma']",2005-03
PA,10,0.7950367747877684,"['Scotoma', 'Spasm', 'Dysuria']",2005-03
RI,5,0.6876056712896164,"['Paralysis', 'Birth Weight', 'Neuralgia']",2005-03
SC,2,0.7411960419492583,"['Hemianopsia', 'Dysuria']",2005-03
SD,1,0.7156295805330947,"['Seizures', 'Deafness', 'Neck Pain', 'Chorea', 'Amnesia']",2005-03
TN,2,0.6173942424785729,"['Weight Loss', 'Flatulence', 'Aphasia']",2005-03
TX,14,0.6272573175918195,"['Memory Disorders', 'Anomia', 'Nausea', 'Phantom Limb', 'Snoring']",2005-03
UT,9,0.6929763078011094,"['Hyperventilation', 'Overweight', 'Shoulder Pain', 'Hypothermia']",2005-03
VA,2,0.6525693595537332,"['Dysarthria', 'Asthenia', 'Tremor', 'Neuralgia']",2005-03
VT,9,0.7035854562246163,"['Hypothermia', 'Sneezing']",2005-03
WA,5,0.6421153095919712,"['Back Pain', 'Nausea', 'Pain']",2005-03
WI,16,0.7004450944393591,"['Oliguria', 'Emaciation', 'Torticollis', 'Paresis', 'Trismus']",2005-03
WV,6,1.0000000000000002,"['Ecchymosis', 'Dyspnea', 'Feminization']",2005-03
WY,9,0.7395656011005286,"['Dystonia', 'Tics', 'Amnesia', 'Hot Flashes', 'Dyslexia']",2005-03
AK,1,0.7178756247383383,"['Low Back Pain', 'Vertigo', 'Pelvic Pain', 'Lethargy']",2005-04
AL,11,0.7375489795457582,"['Weight Loss', 'Dysmenorrhea']",2005-04
AR,14,0.6184443260897993,"['Chorea', 'Back Pain', 'Tics', 'Dyslexia']",2005-04
AZ,9,0.7309479060542983,"['Arthralgia', 'Gastroparesis', 'Jaundice']",2005-04
CA,10,0.8074802230149495,"['Hypercalciuria', 'Trismus', 'Respiratory Aspiration']",2005-04
CO,4,0.6494564345195749,"['Nocturia', 'Halitosis', 'Hirsutism', 'Mutism', 'Myotonia', 'Prosopagnosia', 'Body Weight', 'Stuttering', 'Horner Syndrome', 'Sarcopenia']",2005-04
CT,3,0.653304521793602,"['Arthralgia', 'Sneezing', 'Facial Pain', 'Cough', 'Dysphonia', 'Catatonia']",2005-04
DC,8,0.6067428481094961,"['Back Pain', 'Low Back Pain', 'Amblyopia']",2005-04
DE,2,0.7592327568951829,"['Syncope', 'Gagging', 'Nausea', 'Shoulder Pain', 'Fever', 'Abdominal Pain', 'Amnesia', 'Pruritus']",2005-04
FL,1,0.6167730048458081,"['Anomia', 'Hearing Loss', 'Athetosis', 'Low Back Pain', 'Hyperventilation']",2005-04
GA,7,0.8394598398406233,"['Anomia', 'Hypocapnia', 'Cachexia', 'Aphonia']",2005-04
HI,4,0.7017078476379754,"['Nocturia', 'Chills', 'Dystonia', 'Tics', 'Fever', 'Spasm']",2005-04
IA,10,0.6754585950785131,"['Chills', 'Heartburn']",2005-04
ID,6,0.6720103119321259,"['Chills', 'Bulimia', 'Pain', 'Sleep Deprivation', 'Headache', 'Torticollis']",2005-04
IL,19,0.606087419608459,"['Hirsutism', 'Mental Retardation', 'Quadriplegia']",2005-04
IN,14,0.653966760646212,"['Anorexia', 'Body Weight', 'Pelvic Pain']",2005-04
KS,14,0.6194581857339312,"['Arthralgia', 'Amaurosis Fugax', 'Confusion', 'Hirsutism', 'Tetany', 'Delirium', 'Angina Pectoris', 'Eye Pain']",2005-04
KY,10,0.9135034126932686,"['Hyperalgesia', 'Overweight']",2005-04
LA,15,0.7504942420261501,"['Agnosia', 'Asthenia', 'Tics', 'Coma']",2005-04
MA,17,0.708158225901112,"['Gastroparesis', 'Ataxia', 'Deafness', 'Flatulence']",2005-04
MD,10,0.7638293863835495,"['Hiccup', 'Flushing']",2005-04
ME,10,0.8021227648812941,"['Tremor', 'Pelvic Pain']",2005-04
MI,12,0.6497119664323666,"['Deafness', 'Hoarseness', 'Proteinuria']",2005-04
MN,2,0.6680812549197618,"['Dizziness', 'Proteinuria']",2005-04
MO,15,0.6031680145265622,"['Dizziness', 'Gagging', 'Angina Pectoris', 'Fatigue']",2005-04
MS,9,0.6399045818876451,"['Dyspnea', 'Dysmenorrhea', 'Pelvic Pain', 'Dystonia', 'Aphasia', 'Sneezing', 'Hoarseness', 'Proteinuria', 'Hemiplegia', 'Mental Retardation']",2005-04
MT,7,0.6806366564343511,"['Low Back Pain', 'Birth Weight', 'Illusions', 'Ataxia']",2005-04
NC,10,0.7026435533244162,"['Torticollis', 'Illusions']",2005-04
ND,7,0.6657060538992466,"['Birth Weight', 'Diarrhea', 'Aphasia', 'Tics', 'Angina Pectoris']",2005-04
NE,15,0.6770635791074481,"['Apnea', 'Constipation', 'Tics', 'Neuralgia']",2005-04
NH,5,0.7486494251576297,"['Syncope', 'Purpura', 'Hypercapnia', 'Vomiting']",2005-04
NJ,13,0.6478719629113046,"['Korsakoff Syndrome', 'Intermittent Claudication', 'Tremor', 'Neuralgia', 'Ophthalmoplegia', 'Eye Pain', 'Pallor', 'Mental Retardation']",2005-04
NM,4,0.8530992484454282,"['Confusion', 'Edema']",2005-04
NV,7,0.6731215676947497,"['Eye Pain', 'Pelvic Pain', 'Gastroparesis', 'Spasm', 'Feminization']",2005-04
NY,9,0.618199565106303,"['Dyskinesias', 'Hemoptysis', 'Dysuria', 'Prosopagnosia', 'Hyperoxia', 'Hyperesthesia', 'Pruritus', 'Flushing', 'Presbycusis']",2005-04
OH,4,0.6853751765105233,"['Amblyopia', 'Shoulder Pain', 'Deafness', 'Jaundice']",2005-04
OK,1,0.8287740590014585,"['Fatigue', 'Birth Weight']",2005-04
OR,9,0.6947858096145568,"['Body Weight', 'Diarrhea', 'Amnesia', 'Headache']",2005-04
PA,19,0.7581103001409187,"['Anoxia', 'Mutism']",2005-04
RI,5,0.6966995643054593,"['Cough', 'Apnea']",2005-04
SC,10,0.8635029031255735,"['Mutism', 'Sneezing', 'Dysarthria', 'Pallor', 'Catatonia']",2005-04
SD,11,0.5914726963980116,"['Pelvic Pain', 'Anorexia', 'Chest Pain', 'Flushing']",2005-04
TN,8,0.7282688104805081,"['Tetany', 'Chest Pain']",2005-04
TX,9,0.6712609863983673,"['Taste Disorders', 'Gagging', 'Diarrhea', 'Synkinesis', 'Persistent Vegetative State', 'Sneezing', 'Vomiting', 'Dyskinesias', 'Ageusia', 'Reticulocytosis']",2005-04
UT,3,0.7463678987415612,"['Stuttering', 'Pain']",2005-04
VA,9,0.7484753884883723,"['Dysarthria', 'Asthenia', 'Tremor']",2005-04
VT,4,0.5810054793140149,"['Bulimia', 'Heartburn', 'Gastroparesis']",2005-04
WA,17,0.671933048459697,"['Dysarthria', 'Muscle Weakness']",2005-04
WI,6,0.7004450944393591,"['Oliguria', 'Emaciation', 'Torticollis', 'Paresis', 'Trismus']",2005-04
WV,5,1.0000000000000002,"['Ecchymosis', 'Dyspnea', 'Feminization']",2005-04
WY,12,0.6450055276743711,"['Neuralgia', 'Cough', 'Body Weight', 'Purpura', 'Pallor']",2005-04
AK,6,0.7428030594981707,"['Tics', 'Paralysis', 'Dyspepsia', 'Stuttering', 'Feminization', 'Torticollis']",2005-05
AL,8,0.617231559174188,"['Sleep Disorders', 'Anisocoria', 'Cerebellar Ataxia', 'Vomiting', 'Labor Pain', 'Catatonia']",2005-05
AR,3,0.6953777859204825,"['Dizziness', 'Sleep Disorders', 'Halitosis', 'Toothache', 'Muscle Weakness', 'Gastroparesis', 'Headache', 'Eye Pain']",2005-05
AZ,5,0.6567767271162542,"['Flank Pain', 'Apnea', 'Constipation']",2005-05
CA,21,0.7056457729445677,"['Intermittent Claudication', 'Pseudobulbar Palsy', 'Mental Fatigue', 'Cachexia']",2005-05
CO,7,0.635548834990104,"['Hearing Loss', 'Unconsciousness', 'Hypothermia', 'Hemiplegia', 'Hot Flashes']",2005-05
CT,12,0.6683528833901167,"['Agnosia', 'Korsakoff Syndrome', 'Gagging', 'Seizures', 'Mouth Breathing', 'Abdominal Pain', 'Dyslexia']",2005-05
DC,12,0.6817158435348997,"['Colic', 'Delirium']",2005-05
DE,14,0.6736311333031715,"['Syncope', 'Gagging', 'Shoulder Pain', 'Tinnitus', 'Hemoptysis', 'Fever', 'Abdominal Pain', 'Amnesia', 'Pruritus']",2005-05
FL,10,0.6521321305147525,"['Dyspnea', 'Ataxia', 'Toothache', 'Tetany', 'Apnea', 'Hyperphagia']",2005-05
GA,6,0.8394598398406233,"['Anomia', 'Hypocapnia', 'Cachexia', 'Aphonia']",2005-05
HI,2,0.6496995938948771,"['Obesity', 'Hypothermia', 'Motion Sickness', 'Myoclonus', 'Dyspepsia']",2005-05
IA,12,0.7858512922276937,"['Hallucinations', 'Dysarthria', 'Hyperalgesia', 'Tics']",2005-05
ID,12,0.6049372301720031,"['Heartburn', 'Dyspepsia', 'Labor Pain', 'Hypoventilation']",2005-05
IL,6,0.6653017916340913,"['Paresis', 'Neck Pain']",2005-05
IN,8,0.7033235253608977,"['Low Back Pain', 'Body Weight', 'Pelvic Pain']",2005-05
KS,2,0.720157073809573,"['Obesity', 'Flank Pain', 'Mutism', 'Muscle Cramp', 'Mouth Breathing', 'Hemianopsia', 'Dysgeusia']",2005-05
KY,2,0.7539323308662134,"['Earache', 'Ataxia']",2005-05
LA,2,0.729269421066496,"['Agnosia', 'Asthenia', 'Tics', 'Coma']",2005-05
MA,18,0.7111035635333273,"['Hypothermia', 'Body Weight', 'Facial Pain']",2005-05
MD,14,0.8009557023502795,"['Coprophagia', 'Athetosis', 'Persistent Vegetative State', 'Tetany', 'Bulimia', 'Myokymia']",2005-05
ME,12,0.7059952812492822,"['Hiccup', 'Hyperalgesia', 'Diarrhea', 'Cyanosis', 'Delirium']",2005-05
MI,2,0.6797562582224183,"['Paralysis', 'Aphasia']",2005-05
MN,8,0.6624468628680367,"['Dystonia', 'Sciatica', 'Mental Retardation']",2005-05
MO,12,0.6342958336899074,"['Chills', 'Echolalia', 'Coprophagia', 'Anisocoria', 'Lethargy', 'Bulimia', 'Horner Syndrome', 'Hypoventilation']",2005-05
MS,6,0.7835986150114806,"['Dyspnea', 'Dysmenorrhea', 'Pelvic Pain', 'Dystonia', 'Aphasia', 'Hoarseness', 'Hemiplegia']",2005-05
MT,3,0.6954617990946433,"['Low Back Pain', 'Birth Weight', 'Illusions', 'Ataxia']",2005-05
NC,19,0.691830668875048,"['Hiccup', 'Diarrhea', 'Urinary Incontinence', 'Learning Disorders', 'Sarcopenia']",2005-05
ND,8,0.6776545719006668,"['Dyspnea', 'Headache', 'Back Pain', 'Fatigue']",2005-05
NE,8,0.625876464229953,"['Sleep Disorders', 'Shoulder Pain', 'Lethargy', 'Deafness', 'Neuralgia', 'Hallucinations', 'Amnesia', 'Constipation', 'Cachexia', 'Scotoma']",2005-05
NH,8,0.7198344982252809,"['Gagging', 'Coma', 'Chorea', 'Miosis', 'Coprophagia', 'Hot Flashes']",2005-05
NJ,5,0.6520062774486564,"['Photophobia', 'Encopresis', 'Muscle Cramp', 'Diplopia', 'Headache', 'Flushing', 'Catatonia']",2005-05
NM,4,0.6962148160636162,"['Chorea', 'Gagging', 'Tinnitus']",2005-05
NV,11,0.6549608120431143,"['Flushing', 'Agnosia', 'Aphasia', 'Hypothermia']",2005-05
NY,17,0.7199140390390194,"['Motion Sickness', 'Anoxia', 'Aphasia']",2005-05
OH,10,0.6297048501934307,"['Myotonia', 'Hypoventilation', 'Halitosis']",2005-05
